category,year,filename,title,source_url,license_note
ECDC,2024,03_ECDC/ECDC_TB_Surveillance_Europe_2024.pdf,Tuberculosis surveillance and monitoring in Europe 2024,https://www.ecdc.europa.eu/sites/default/files/documents/TB_Surveillance_Report_2024.pdf,Verify document notice
ECDC,2025,03_ECDC/ECDC_TB_Surveillance_Europe_2025.pdf,Tuberculosis surveillance and monitoring in Europe 2025,https://www.ecdc.europa.eu/sites/default/files/documents/TB-2025-Surveillance-report.pdf,Verify document notice
ECDC,2026,03_ECDC/ECDC_TB_Surveillance_Europe_2026.pdf,Tuberculosis surveillance and monitoring in Europe 2026,https://www.ecdc.europa.eu/sites/default/files/documents/Book%202026%2020260320%20%281%29.pdf,Verify document notice
ECDC,2020,03_ECDC/ECDC_TB_Annual_Epidemiological_Report_2020.pdf,Tuberculosis annual epidemiological report 2020,https://www.ecdc.europa.eu/sites/default/files/documents/tuberculosis-annual-epidemiological-report-2020_1.pdf,Reproduction authorised provided source acknowledged
ECDC,2021,03_ECDC/ECDC_TB_Annual_Epidemiological_Report_2021.pdf,Tuberculosis annual epidemiological report 2021,https://www.ecdc.europa.eu/sites/default/files/documents/tuberculosis-annual-epidemiological-report-2021.pdf,Reproduction authorised provided source acknowledged
ECDC,2022,03_ECDC/ECDC_TB_Annual_Epidemiological_Report_2022.pdf,Tuberculosis annual epidemiological report 2022,https://www.ecdc.europa.eu/sites/default/files/documents/TUBE_AER_2022_Report.pdf,Verify document notice
Spain,2023,04_Spain/Spain_RENAVE_TB_Surveillance_2023.pdf,Vigilancia de la tuberculosis Año 2023,https://www.sanidad.gob.es/areas/DCVIHT/tuberculosis/docs/RENAVE_informe_Vigilancia_TB__2023.pdf,Official Spanish Ministry document - verify reuse terms
Spain,2024,04_Spain/Spain_Interim_Evaluation_TB_Plan_2019_2030.pdf,Evaluación intermedia del Plan para la prevención y control de la tuberculosis en España 2019-2030,https://www.sanidad.gob.es/areas/DCVIHT/tuberculosis/docs/Informe_Evaluacion_intermedia_Plan_Nacional_TB_2019-2030_version_final.pdf,Official Spanish Ministry document - verify reuse terms
CDC,2020,02_CDC/CDC_Self_Study_Module_1_Transmission_Pathogenesis.pdf,Self-study module 1 transmission and pathogenesis of tuberculosis,https://www.cdc.gov/tb/media/pdfs/Self_Study_Module_1_Transmission_and_Pathogenesis_of_Tuberculosis.pdf,US federal government work generally public domain; verify embedded third-party content
CDC,2020,02_CDC/CDC_Self_Study_Module_2_Epidemiology.pdf,Self-study module 2 epidemiology of tuberculosis,https://www.cdc.gov/tb/media/pdfs/Self_Study_Module_2_Epidemiology_of_Tuberculosis.pdf,US federal government work generally public domain; verify embedded third-party content
CDC,2020,02_CDC/CDC_Self_Study_Module_3_Testing_Diagnosis.pdf,Self-study module 3 targeted testing and diagnosis,https://www.cdc.gov/tb/media/pdfs/Self_Study_Module_3_Targeted_Testing_and_the_Diagnosis_of_Latent_Tuberculosis_Infection_and_Tuberculosis_Disease.pdf,US federal government work generally public domain; verify embedded third-party content
CDC,2020,02_CDC/CDC_Self_Study_Module_4_Treatment_LTBI_TB.pdf,Self-study module 4 treatment of latent TB infection and TB disease,https://www.cdc.gov/tb/media/pdfs/Self_Study_Module_4_Treatment_of_Latent_Tuberculosis_Infection_and_Tuberculosis_Disease.pdf,US federal government work generally public domain; verify embedded third-party content
CDC,2020,02_CDC/CDC_Self_Study_Module_5_Infectiousness_Infection_Control.pdf,Self-study module 5 infectiousness and infection control,https://www.cdc.gov/tb/media/pdfs/Self_Study_Module_5_Infectiousness_and_Infection_Control.pdf,US federal government work generally public domain; verify embedded third-party content
